"model";"Natural";"Natural order";"Long iteration algorithm";"Long algorithm";"Medium iteration algorithm";"Medium algorithm";"Short iteration algorithm";"Short algorithm";"Force";"Order Edges";"Order Edges + Pre_Post";"Order Edges Reversed";"Order Edges Reversed + Pre_Post";"Order Edges Reversed + Pre_Post longer";"Order Pre Post";"Force 2";"Force 3"
"ring.pnml";"1200,08";"1200,29";;"1200,16";"1200,05";"1200,03";"1200,09";"1200,10";"0,09";"0,67";"1,37";"0,74";"0,60";"0,61";"0,13";"1200,10";"1200,11"
"HouseConstruction-002.pnml";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,01";"0,01";"0,00";"0,01";"0,01";"0,00";"0,01";"0,00"
"TokenRing-10-unfolded.pnml";"1200,01";"1200,01";"1200,09";"1200,09";"1200,02";"1200,06";"1200,05";"1200,01";"0,21";"0,18";"0,10";"0,18";"0,10";"0,10";"0,15";"0,30";"1200,03"
"echo-d3r7.pnml";"1200,16";"1200,12";"1200,21";"1200,16";"1200,19";"1200,15";"1200,14";"1200,16";"1200,34";"1200,19";"1200,15";"1200,14";"1200,22";"1200,22";"1200,23";"1200,23";"1200,14"
"rwmutex-r10w20.pnml";"0,24";"0,22";"0,25";"0,22";"0,23";"0,22";"0,23";"0,23";"0,02";"0,36";"0,38";"0,50";"0,50";"0,43";"0,02";"0,29";"0,22"
"eratosthenes-010.pnml";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"RAS-C-15.pnml";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,06";"0,25";"0,22";"0,23";"0,22";"0,01";"0,61";"0,01"
"dekker-15.pnml";"1200,11";"1200,06";"1200,14";"1200,13";"1200,11";"1200,72";"1200,47";"1200,11";"2,09";"13,16";"0,36";"2,07";"0,35";"0,31";"0,28";"1200,01";"1200,25"
"neoelection-2.unf.pnml";"0,05";"0,13";"0,12";"0,18";"0,18";"0,12";"0,13";"0,12";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,04";"0,05"
"QCertifProtocol_02-unfold.pnml";"0,17";"0,15";"0,19";"0,15";"0,15";"0,15";"0,15";"0,15";"0,02";"0,03";"0,03";"0,02";"0,04";"0,04";"0,02";"0,09";"0,17"
"philosophers-20.pnml";"1200,43";"1200,54";"1200,44";"1200,49";"1200,41";"1200,49";"1200,34";"1200,37";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"1200,03";"1200,27"
