"model";"Natural";"Natural order";"Long iteration algorithm";"Long algorithm";"Medium iteration algorithm";"Medium algorithm";"Short iteration algorithm";"Short algorithm";"Force";"Order Edges";"Order Edges + Pre_Post";"Order Edges Reversed";"Order Edges Reversed + Pre_Post";"Order Edges Reversed + Pre_Post longer";"Order Pre Post";"Force 2";"Force 3"
"HouseConstruction-020.pnml";"14,79";"13,52";"17,43";"13,48";"13,79";"14,21";"16,52";"17,91";"1200,05";"1200,00";"1200,00";"1200,07";"1200,02";"1200,21";"12,69";"1214,56";"15,45"
"philo_dyn-3-unfolded.pnml";"0,05";"0,05";"0,05";"0,05";"0,05";"0,05";"0,05";"0,05";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,04";"0,05"
"MAPK-80.pnml";"1207,99";"1200,07";"1200,06";"1200,10";"1200,09";"1216,54";"1200,12";"1200,93";"2,95";"1200,09";"111,43";"1200,09";"111,54";"116,31";"1200,02";"1202,42";"1215,60"
"neoelection-6.unf.pnml";"1200,10";"1200,13";"1200,08";"1200,06";"1200,06";"1200,09";"1200,12";"1200,09";"1200,14";"1200,11";"1200,15";"1200,13";"1200,12";"1200,13";"1200,06";"1200,14";"1200,10"
"eratosthenes-100.pnml";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01"
"Peterson-5.pnml";"1200,04";"1200,08";"1200,12";"1200,06";"1200,05";"1200,03";"1200,10";"1200,07";"1200,12";"1200,15";"1200,16";"1200,10";"1200,12";"1200,07";"1200,08";"1200,08";"1200,12"
"rwmutex-r20w10.pnml";"1200,05";"1200,01";"1200,07";"1200,08";"1200,14";"1200,04";"1200,02";"1200,06";"864,76";"1200,02";"1200,05";"1200,03";"1200,01";"1200,26";"0,48";"1200,14";"1200,49"
"RAS-R-100.pnml";"1200,24";"1200,10";"1200,10";"1200,16";"1200,07";"1200,22";"1200,13";"1200,29";"0,44";"1,44";"3,05";"0,72";"1,77";"1,64";"0,53";"1200,04";"1200,26"
"TokenRing-20-unfolded.pnml";"1200,05";"1200,01";"1200,04";"1200,03";"1200,04";"1200,05";"1200,01";"1200,02";"32,62";"96,34";"124,97";"110,03";"104,42";"4,67";"8,44";"347,20";"1200,10"
"Kanban-1000.pnml";"1229,20";;;;;;;;"1200,02";"1200,18";"1200,07";"1200,03";"1200,09";"1229,37";"1200,12";"1201,70";"1200,48"
"neoelection-4.unf.pnml";"1200,12";"1200,11";"1200,11";"1200,04";"1200,05";"1200,06";"1200,07";"1200,03";"1200,04";"1200,10";"1200,05";"1200,12";"1200,10";"1200,09";"1200,04";"1200,08";"1200,06"
"eratosthenes-500.pnml";"0,68";"0,57";"0,68";"0,60";"0,70";"0,61";"0,69";"0,66";"0,19";"0,15";"0,13";"0,16";"0,12";"0,13";"0,14";"1,58";"0,70"
"neoelection-5.unf.pnml";"1200,13";"1200,08";"1200,12";"1200,14";"1200,05";"1200,11";"1200,04";"1200,12";"1200,10";"1200,08";"1200,04";"1200,10";"1200,04";"1200,04";"1200,10";"1200,08";"1200,05"
"rwmutex-r10w500.pnml";"377,05";"366,06";"266,77";"314,05";"384,10";"510,35";"351,50";"524,72";"126,21";"30,73";"44,67";"345,06";"359,65";"365,22";"202,58";"324,33";"349,66"
"galloc_res-5.pnml";"1200,27";"1200,21";"1200,49";"1200,19";"1200,08";"1200,19";"1200,09";"1200,28";"1200,11";"1200,01";"1200,06";"1200,04";"1200,06";"1200,08";"1200,05";"1200,11";"1200,29"
"cs_repetitions-7-unfolded.pnml";"1200,09";"1200,41";"1201,85";"1200,03";"1200,02";"1200,09";"1200,08";"1201,63";"1202,33";"1209,26";"1218,14";"1209,41";"1204,62";"1200,16";"1200,42";"1208,40";"1201,20"
"neoelection-8.unf.pnml";"1200,17";"1200,15";"1200,14";"1200,18";"1200,20";"1200,22";"1200,20";"1200,15";"1200,13";"1200,18";"1200,15";"1200,19";"1200,16";"1200,15";"1200,11";"1200,10";"1200,16"
"Kanban-5.pnml";"0,04";"0,03";"0,03";"0,03";"0,05";"0,03";"0,03";"0,03";"0,03";"0,21";"0,05";"0,01";"0,00";"0,00";"0,04";"0,44";"0,04"
"cs_repetitions-10-unfolded.pnml";"1200,04";"1200,10";"1200,07";"1200,16";"1200,02";"1200,05";"1200,06";"1200,10";"1200,10";"1200,13";"1200,09";"1200,15";"1200,13";"1200,11";"1200,07";"1200,10";"1200,09"
"dekker-10.pnml";"1,84";"1,80";"1,63";"1,62";"1,61";"1,62";"1,63";"1,77";"0,06";"0,12";"0,04";"0,06";"0,04";"0,04";"0,03";"2,18";"1,83"
"Kanban-50.pnml";"181,41";"159,32";"155,74";"162,42";"195,54";"153,94";;"159,53";"142,56";"1200,07";"451,05";"3,18";"1,58";"1,66";"250,30";"1200,08";"183,98"
"TokenRing-5-unfolded.pnml";"0,03";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02"
"galloc_res-3.pnml";"0,74";"0,62";"0,78";"0,74";"0,62";"0,66";"0,75";"0,74";"0,25";"0,37";"0,24";"0,24";"0,28";"0,33";"0,24";"0,28";"0,78"
"Peterson-6.pnml";"1200,13";"1200,10";"1200,12";"1200,21";"1200,10";"1200,11";"1200,14";"1200,14";"1200,13";"1200,08";"1200,17";"1200,10";"1200,03";"1200,06";"1200,18";"1200,06";"1200,15"
"lamport_fmea-8.pnml";"1201,05";"1201,67";"1200,43";"1200,06";"1201,93";"1202,33";"1200,10";"1200,09";"1200,03";"1200,08";"1200,04";"1200,08";"1200,06";"1200,03";"1200,05";"1200,06";"1200,04"
"neoelection-7.unf.pnml";"1200,14";"1200,14";"1200,15";"1200,14";"1200,08";"1200,18";"1200,15";"1200,11";"1200,13";"1200,12";"1200,15";"1200,08";"1200,14";"1200,15";"1200,15";"1200,09";"1200,16"
"simple_lbs-2.pnml";"0,02";"0,03";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,01";"0,01";"0,02";"0,01";"0,02"
"rwmutex-r10w100.pnml";"46,50";"44,70";"66,99";"43,56";"58,24";"61,69";"68,64";"60,94";"19,04";"4,52";"3,95";"30,18";"31,45";"32,28";"16,26";"30,81";"46,93"
"rwmutex-r10w10.pnml";"0,19";"0,25";"0,24";"0,18";"0,25";"0,17";"0,18";"0,17";"0,01";"0,17";"0,17";"0,21";"0,22";"0,22";"0,01";"0,12";"0,19"
"IBMB2S565S3960.pnml";"1200,08";"1200,11";"1200,08";"1200,16";"1200,08";"1200,07";"1200,13";"1200,12";"1200,09";"1200,08";"1200,10";"1200,07";"1200,10";"1200,05";"1200,08";"1200,02";"1200,18"
"RAS-R-2.pnml";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"shared_memory-pt-20.pnml";"1200,45";"1200,43";"1200,35";"1200,30";"1200,32";"1200,25";"1200,28";"1200,13";"1200,10";"1200,22";"1200,07";"1200,07";"1200,04";"1200,07";"1200,06";"1201,09";"1200,30"
"MAPK-20.pnml";"1200,03";"1200,16";"1200,08";"1200,13";"1200,05";"1200,02";"1200,42";"1200,09";"0,07";"1,81";"0,56";"1,87";"0,56";"0,55";"0,36";"6,62";"1201,08"
"eratosthenes-020.pnml";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"QCertifProtocol_06-unfold.pnml";"1200,10";"1200,02";"1200,03";"1200,09";"1200,04";"1200,01";"1200,03";"1200,09";"119,45";"244,83";"280,67";"108,28";"312,37";"239,45";"156,19";"767,40";"1200,04"
